单选,某银行机构工作人员将依法查询的个人信息违法提供给p2p公司，依据《征信业管理条例》，应由国务院征信业监督管理部门或者其派出机构责令限期改正，对单位处5万元以上50万元以下的罚款；对直接负责的主管人员和其他直接责任人员处（  ）以下的罚款；有违法所得的，没收违法所得。给信息主体造成损失的，依法承担民事责任；构成犯罪的，依法追究刑事责任。,A、1万元以上10万元以下,B、2万元以上5万元以下,C、1万元以上3万元以下,D、3万元以上30万元以下, ,A
单选,某银行机构在没有得到客户同意的情况下，擅自查询客户的个人信用报告，依据《征信业管理条例》，这种行为应由国务院征信业监督管理部门或者其派出机构责令限期改正，对单位处（  ）的罚款。,A、5万元以上30万元以下,B、3万元以上30万元以下,C、5万元以上50万元以下,D、3万元以上50万元以下, ,C
单选,某征信机构在未经国务院征信业监督管理部门批准的情况下，擅自开展个人征信业务活动，依据《征信业管理条例》，这种行为应由国务院征信业监督管理部门予以取缔，没收违法所得，并处以（  ）罚款。,A、2万元以上20万元以下  ,B、5万元以上50万元以下,C、1万元以上5万元以下 ,D、10万元以上50万元以下  , ,B
单选,依据《个人信用信息基础数据库管理暂行办法》规定，商业银行未准确、完整、及时报送个人信用信息的；由中国人民银行（  ）；涉嫌犯罪的，依法移交司法机关处理。,A、责令改正，并处一万元以上三万元以下罚款,B、责令改正，并处一万元以上二万元以下罚款,C、给予警告，并处一万元以上五万元以下罚款,D、给予警告，并处五万元以上五十万元以下罚款, ,A
单选,依据《个人信用信息基础数据库管理暂行办法》规定，商业银行未建立相应管理制度及操作规程的，由中国人民银行责令改正，逾期不改正的，（  ）。,A、责令改正，并处以三万元罚款,B、责令改正，并处以五万元罚款,C、给予警告，并处以三万元罚款,D、给予警告，并处以五万元罚款, ,C
单选,依据《个人信用信息基础数据库管理暂行办法》规定，商业银行查询用户在工作中接触客户个人信用信息的，负有（  ）。,A、信息披露责任 ,B、保密和保管责任,C、保管责任 ,D、保密责任, ,D
单选,小明为某商业银行个人信用信息基础数据库数据上报用户，该商业银行行长某亲戚在该行有不良个人信用记录，该行长遂要求小明删除其亲戚的不良记录，小明于是在个人征信系统中进行了删除。对于小明的做法，下列说法中不正确的是（  ）,A、应责令该商业银行进行限期整改,B、该商业银行违反《个人信用信息基础数据库管理暂行办法》,C、对该商业银行可以给予处罚1万元以上3万元以下罚款,D、可以给予该商业银行行长50万元罚款, ,D
单选,小李的个人住房贷款每月到期还款日为5号，小李4月10日才还款，银行每月15日向金融信用信息基础数据库报送征信数据，下列属于银行履行了个人不良信息告知义务的是：（  ）,A、4月11号提示将向金融信用信息基础数据库报送其不良记录,B、4月4日提示将向金融信用信息基础数据库报送其不良记录,C、4月16日提示将向金融信用信息基础数据库报送其不良记录,D、4月5日提示将向金融信用信息基础数据库报送其不良记录, ,A
单选,小李有一笔一次性还本付息的个人消费贷款，贷款到期日为2015年5月6日，小李于2015年5月31日才偿还贷款本息，银行于6月10日向金融信用信息基础数据库报送征信数据并于11日加载成功，下列属于银行履行了个人不良信息告知义务的是：（  ）,A、6月1号提示将向金融信用信息基础数据库报送其不良记录,B、5月6日提示将向金融信用信息基础数据库报送其不良记录,C、6月12日提示将向金融信用信息基础数据库报送其不良记录,D、6月11日提示将向金融信用信息基础数据库报送其不良记录, ,A
单选,依据《个人信用信息基础数据库管理暂行办法》，商业银行应当制定个人信用信息基础数据库（  ）的口令控制制度，并（  ）检查口令控制执行情况。,A、管理员用户，定期,B、管理用户和查询用户，定期,C、管理员用户和查询用户，不定期,D、管理员用户、数据上报用户和查询用户，不定期, ,B
